organism,16s,23s,5s,alanine,arginine,asparagine,asparticacid,cysteine,glutamicacid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine
bin_1,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_10,,,,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,7.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0
bin_100,,,,,2.0,,,,,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,3.0,3.0,1.0,,
bin_101,1.0,1.0,1.0,3.0,5.0,,1.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,3.0,,3.0,4.0,4.0,1.0,1.0,3.0
bin_102,1.0,1.0,1.0,3.0,6.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0,3.0,4.0,1.0,3.0,6.0,3.0,1.0,1.0,3.0
bin_103,,,1.0,1.0,3.0,1.0,,1.0,1.0,2.0,4.0,,,6.0,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,3.0
bin_104,,,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0
bin_105,2.0,1.0,1.0,3.0,2.0,,,,,,2.0,,,1.0,,1.0,,,,,,,
bin_106,,,,1.0,6.0,,1.0,1.0,2.0,2.0,1.0,1.0,,5.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,2.0
bin_107,1.0,1.0,1.0,3.0,8.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0,2.0,2.0,2.0,3.0,8.0,3.0,1.0,1.0,3.0
bin_108,,,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,6.0,2.0,3.0,3.0,4.0,5.0,3.0,1.0,,6.0
bin_109,1.0,1.0,1.0,3.0,5.0,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_11,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,4.0,5.0,3.0,1.0,1.0,3.0
bin_110,1.0,,,2.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,,1.0,2.0
bin_111,,,,,4.0,1.0,,1.0,1.0,2.0,3.0,1.0,,5.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0
bin_112,,,1.0,,2.0,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,3.0,,,3.0
bin_113,1.0,,1.0,3.0,4.0,1.0,2.0,,2.0,2.0,3.0,1.0,,5.0,1.0,2.0,1.0,4.0,6.0,1.0,1.0,,4.0
bin_114,1.0,1.0,,,4.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0
bin_115,,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,,1.0,3.0,,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0
bin_116,,,,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0
bin_117,,,,1.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0
bin_118,1.0,,,2.0,5.0,1.0,,1.0,1.0,2.0,4.0,1.0,,5.0,2.0,,1.0,2.0,4.0,3.0,1.0,2.0,3.0
bin_119,,,,1.0,2.0,1.0,1.0,1.0,,1.0,3.0,,,3.0,1.0,2.0,,1.0,3.0,1.0,,,2.0
