"bin.taxa.name","bins","kingdom","phylum","class","order","family","genus","species","DCO_LLO_Bv4v5..QHF2_QH170212_2","DCO_LLO_Bv4v5..QHS2_QH170213_2","DCO_LLO_Bv4v5..BQS_BQ170220","DCO_LLO_Bv4v5..SIF_SI170217","DCO_LLO_Bv4v5..ESF9_ES_F9","DCO_LLO_Bv4v5..SIS_SI170217","DCO_LLO_Bv4v5..EPF_EP170215","DCO_LLO_Bv4v5..RSS_RS170216","DCO_LLO_Bv4v5..RSF_RS170216","DCO_LLO_Bv4v5..EPS_EP170215","DCO_LLO_Bv4v5..SLS_SL170214_S","DCO_LLO_Bv4v5..BRS1_BR170218_1","DCO_LLO_Bv4v5..BRS2_BR170218_2","DCO_LLO_Bv4v5..FAS_FA170219","DCO_LLO_Bv4v5..BRF1_BR170218_1","DCO_LLO_Bv4v5..BRF2_BR170218_2","DCO_LLO_Bv4v5..MTF_MT170219","DCO_LLO_Bv4v5..CYF_CY170214","DCO_LLO_Bv4v5..SLF_SL170214","DCO_LLO_Bv4v5..BQF_BQ170220","DCO_LLO_Bv4v5..QNF_QN170220","DCO_LLO_Bv4v5..QNS_QN170220","DCO_LLO_Bv4v5..CYS_CY170214","DCO_LLO_Bv4v5..ETS_ET170220","DCO_LLO_Bv4v5..RVF_RV170221","DCO_LLO_Bv4v5..TCF_TC170221","DCO_LLO_Bv4v5..TCS_TC170221_2","cluster"
"bin_399, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrosopumilaceae, Nitrosotenuis, GCF000723185.1","bin_399","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosotenuis","GCF000723185.1",0.060862475,0,0,0.053835288,0.091283899,0,0,0,0,0,0.119694598,0.049553174,0.361712718,0.079401542,0.183262993,0.367079975,2.448922797,3.583583118,0.606808193,0,0.105006077,0,237.6542145,0.241621269,0.122344354,0.505121634,0,1
"bin_379, Bacteria, Cyanobacteriota, Cyanobacteriia, Cyanobacteriales, Nostocaceae, Fischerella, thermalis","bin_379","Bacteria","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Fischerella","thermalis",0,0,0,0.073335334,0.12322431,0.03479694,0,0,0.035364549,0,0.189567263,0.044447457,1.036270863,0.156821522,1.084446357,0.109106395,0.133002536,0.066274146,0.137377835,0,0.058089649,0,0.632876676,0,0,0.046507465,0,1
"bin_224, Bacteria, Deinococcota, Deinococci, Deinococcales, Thermaceae, Thermus","bin_224","Bacteria","Deinococcota","Deinococci","Deinococcales","Thermaceae","Thermus","",0,0,0,0,0.055694913,0.034096814,0.041978639,0.060624827,0.095444772,0.04805001,2.55752589,0.400230456,0,0.68320044,0.552868359,0.062016581,31.1128059,263.8221143,25.93353177,0,0.052474603,0,1.834586559,0.06762004,0.053550637,2.286653459,1.3767492,1
"bin_355, Bacteria, UBP7, 4484~113, 4484~113, 4484~113","bin_355","Bacteria","UBP7","4484~113","4484~113","4484~113","","",0,0,0,0,0,0,0,0,0.043841457,0,0.040528492,0.045953396,16.10357796,0.113795135,0.053873946,2.284320453,0.033273559,0,0,0,0,0,0,0,0,0,0,1
"bin_321, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, UBA213","bin_321","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","UBA213","","",0,0,0,0,0,0,0,0,0,0,6.94181814,0,0,59.33881758,0,0,0.04577983,3.299033379,10.16077155,0,0,0,0.126742247,0,0,0.041162088,0.035117337,1
"bin_17, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, UBA213","bin_17","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","UBA213","","",0,0,0,0.033844885,0.133341613,0,0,0,0,0,0.96047157,0,0,0.077394634,0,0.046301402,0.332338114,113.3947662,1.11186022,0,0,0,2.815894439,0.091780967,0.045765106,2.747418019,3.142212692,1
"bin_95, Bacteria, Bacteroidota, Bacteroidia, AKYH767, b~1BO","bin_95","Bacteria","Bacteroidota","Bacteroidia","AKYH767","b~1BO","","",0,0,0,0.030893662,0.052332377,0,0.030010476,0,0.031593138,0,1.695360351,1.058800674,0.246135831,1.268520433,1.273666085,0.217515275,5.39985631,4.709392672,15.04816506,0,0.054422265,0,7.35534955,0.071194194,0,0.43517017,0.252955683,1
"bin_156, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae","bin_156","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","","",0,0,0,0,0,0,0,0.032096618,0.039976393,0,0.569727241,0.363571737,0.096835731,1.776061042,0.063602683,0,0.311146041,1.479543829,0.628644769,0,0.038679449,0,345.0518608,0.08252929,0,1.161780173,0.892774262,1
"bin_108, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae","bin_108","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","","",0,0,0,0,0,0,0,0,0.044355797,0,10.16724904,0.212844289,0.033964657,72.04314763,0.036425579,0,0.352065504,1.183364236,11.11652344,0,0.043812995,0,47.52861177,0.044650297,0,0.241608338,0.193988315,1
"bin_291, Archaea, Halobacterota, Methanosarcinia, Methanocellales","bin_291","Archaea","Halobacterota","Methanosarcinia","Methanocellales","","","",0,0,0,0,0,0,0,0,0.031626455,0,34.27832383,0,0.129145022,0.041377831,0.147285492,2.018686173,0.230391655,0,0.461336364,0,0,0,0,0,0,0,0,1
