sample,code,station,site_name,type,lat,long,trench,lat_proj,province,simpl_prov,plate,region,geol_prov,rocks,volcano,anions,cations,alt,temp,do,spc,ph,dic,dic_d13,doc,doc_d13,toc,toc_d13,tc,tc_d13,co2,h2,o2,ch4,co2_d13,rc_ra,co2_he3,cells_flu,low_pah,hi_pah,pah,ah,prot,cho,lip,cha,feo,cpe,al_ac,cr_ac,mn_ac,fe_ac,ni_ac,cu_ac,zn_ac,cd_ac,ag_ac,co_ac,f,cl,so4,h2s,br,no3,po4,li,na,nh4,k,mg,ca,si,al_s,cr_s,mn_s,fe_s,ni_s,cu_s,zn_s,cd_s,ag_s
DCO_LLO_Bv4v5..RVF_RV170221,RV,RV170221,Recreo Verde,F,10.321576,-84.243686,175.8828566,8.865674042,arc,arc,Central,NA,4,QDF,f,iw,NA,557,42.7,1.8,45000,6.19,19.73,-0.28,2.87,-4.71,NA,NA,NA,NA,994.3,0.00025,1.33265,0.00272,-4.8,6.680963707,2.19E+11,1370000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754568517,0.519231879,5.097513,7.242688328,5.289723849,0.112430962,0.260896358,0.001281254,0.004748335,0.102831884,0,14.59956423,4.48,NA,0.00791425,0,0.002280947,0.044632857,14.31491913,0.002714444,2.577556522,13.53624198,0.397242394,46.7,129.5,38.3,88.7,14.6,10.4,245.7,28.3,0.134,2.32
DCO_LLO_Bv4v5..TCF_TC170221,TC,TC170221,El Tucano site,F,10.366486,-84.381208,172.6685219,8.937198679,arc,arc,Central,poas,4,QPV,Pl,gw,g3,553,60,18.7,3500,6.24,13.57,-2.36,1.07,-7.94,5.0443663,-28.1660008,10.4543971,-27.5149659,965.4,0.00027,0.22967,0.94095,-4.54,6.567437499,24030181238,51600,94.8,71.7,166.5,133.5,31.35,73.82,39.91,-19.90494041,19.90494041,0,0.976615159,0.671061008,7.407716018,1.236510741,1.847175862,0.140531364,0.365682016,0.00205209,0.003679621,0.028263652,0,18.53446676,0.058929865,0.05,0.012649125,0.048036452,0.001310211,0.052994286,12.95616565,1.325659444,1.313599488,2.286909053,1.059998753,44.832,112.8,61.7,2243.4,118.1,34.3,255.5,532.1,0.587,1.78
DCO_LLO_Bv4v5..TCS_TC170221_2,TC,TC170221,El Tucano site,S,10.366486,-84.381208,172.6685219,8.937198679,arc,arc,Central,poas,4,QPV,Pl,gw,g3,553,60,18.7,3500,6.24,13.57,-2.36,1.07,-7.94,5.0443663,-28.1660008,10.4543971,-27.5149659,965.4,0.00027,0.22967,0.94095,-4.54,6.567437499,24030181238,51600,94.8,71.7,166.5,133.5,31.35,73.82,39.91,-19.90494041,19.90494041,0,0.976615159,0.671061008,7.407716018,1.236510741,1.847175862,0.140531364,0.365682016,0.00205209,0.003679621,0.028263652,0,18.53446676,0.058929865,NA,0.012649125,0.048036452,0.001310211,0.052994286,12.95616565,1.325659444,1.313599488,2.286909053,1.059998753,44.832,112.8,61.7,2243.4,118.1,34.3,255.5,532.1,0.587,1.78
DCO_LLO_Bv4v5..CYF_CY170214,CY,CY170214,Rio Cayuco,F,10.287497,-84.955524,140.9071216,9.121202033,forearc,forearc,Central,forearc,3,TV,f,gw,g3,184,72,26.7,5821,6.31,5.24,-4.99,1.82,-7.78,0.2467956,-23.2067987,9.2372675,3.4653422,994.9,0.00139,1.11783,0.0018,-2.4,0.594258722,1.81E+11,NA,6.5,5.1,11.6,64.4,3.56,1.91,3.8,0,0,0,1.584266567,0.482373871,3.932629565,6.642227237,5.910537378,0.174088965,0.272649755,0.002343759,0.010491394,0.052317874,0.153907368,15.43938394,4.418429969,0.05,0.005762,0.036205484,0.00181,0.139704286,18.30385261,0.093066667,0.813157545,0.973397531,3.413439152,23.35,45.9,10.7,1167.5,66.2,17.3,55.9,97.9,0.218,1.17
DCO_LLO_Bv4v5..CYS_CY170214,CY,CY170214,Rio Cayuco,S,10.287497,-84.955524,140.9071216,9.121202033,forearc,forearc,Central,forearc,3,TV,f,gw,g3,184,72,26.7,5821,6.31,5.24,-4.99,1.82,-7.78,0.2467956,-23.2067987,9.2372675,3.4653422,994.9,0.00139,1.11783,0.0018,-2.4,0.594258722,1.81E+11,NA,6.5,5.1,11.6,64.4,3.56,1.91,3.8,0,0,0,1.584266567,0.482373871,3.932629565,6.642227237,5.910537378,0.174088965,0.272649755,0.002343759,0.010491394,0.052317874,0.153907368,15.43938394,4.418429969,NA,0.005762,0.036205484,0.00181,0.139704286,18.30385261,0.093066667,0.813157545,0.973397531,3.413439152,23.35,45.9,10.7,1167.5,66.2,17.3,55.9,97.9,0.218,1.17
DCO_LLO_Bv4v5..SLF_SL170214,SL,SL170214,Santa Lucia,F,10.290599,-84.972435,140.3008679,9.129323381,forearc,forearc,Central,forearc,3,TV,f,iw,g3,165,57,22,2824,6.12,5.69,-5.28,6.29,-0.65,3.1447098,-28.5585865,4.1881535,-26.3071606,NA,NA,NA,NA,NA,3.84,1.01E+11,NA,89.5,1565.6,1655.1,78.7,18.08,13.29,3.94,0,0,0,3.168042248,0.528309569,1.431007095,4.682016968,3.105185261,0.061265581,0.128967149,0.002135424,0.007282557,0.030669073,0.081581053,3.52374338,5.019929032,0.05,0.0017215,0.026544677,0.001474632,0.071982857,11.83016174,0.310068889,0.538584655,1.074779424,2.738534414,26.619,70,44.6,761.3,153.8,36,72.2,165.3,0.235,0.69
DCO_LLO_Bv4v5..SLS_SL170214_S,SL,SL170214,Santa Lucia,S,10.290599,-84.972435,140.3008679,9.129323381,forearc,forearc,Central,forearc,3,TV,f,iw,g3,165,57,22,2824,6.12,5.69,-5.28,6.29,-0.65,3.1447098,-28.5585865,4.1881535,-26.3071606,NA,NA,NA,NA,NA,3.84,1.01E+11,NA,89.5,1565.6,1655.1,78.7,18.08,13.29,3.94,0,0,0,3.168042248,0.528309569,1.431007095,4.682016968,3.105185261,0.061265581,0.128967149,0.002135424,0.007282557,0.030669073,0.081581053,3.52374338,5.019929032,NA,0.0017215,0.026544677,0.001474632,0.071982857,11.83016174,0.310068889,0.538584655,1.074779424,2.738534414,26.619,70,44.6,761.3,153.8,36,72.2,165.3,0.235,0.69
DCO_LLO_Bv4v5..QHF2_QH170212_2,QH,QH170213_2,Quepos Hotsprings 2,F,9.56171,-84.123251,106.117742,8.683451159,outer_forearc,forearc,Central,forearc,1,CSS,f,dcl,g3,298,48.7,2.5,4100,8.53,0.1,-9.93,0.17,-27.58,7.1291951,-22.7558114,21.3400042,-21.261915,0,0.00287,0.30103,0.04669,NA,3.102987901,NA,3040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.369162092,0.507960229,0.498831271,1.829645625,2.505139462,0.109148636,0.065814239,0.000947919,0.004753002,0.019844686,0.239206316,14.64322479,0.948314256,3.2,0.0071385,0.050629355,0.000430316,0.006888571,10.70151348,0.049857778,0.135086445,0.022030453,2.200692269,9.34,72.4,199.2,787.2,68,72.9,102.5,106.1,0.316,1.15
DCO_LLO_Bv4v5..QHS1_QH170213_1,QH,QH170213_1,Quepos Hotsprings 1,S,9.56171,-84.123251,106.117742,8.683451159,outer_forearc,forearc,Central,forearc,1,CSS,f,dcl,g3,298,48.7,2.5,4100,8.53,0.1,-9.93,0.17,-27.58,7.1291951,-22.7558114,21.3400042,-21.261915,0,0.00287,0.30103,0.04669,NA,3.102987901,NA,3040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.201559718,0.503559753,0.177516308,5.729705502,5.443732716,0.149933,0.128967149,0.00119792,0.004865009,0.025858233,0.202046316,25.21208028,2.057644017,NA,0.012274625,0.095629032,0.000532526,0.011702857,17.02247261,2.348051667,0.227480051,0.024657202,4.858632668,11.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCO_LLO_Bv4v5..QHS2_QH170213_2,QH,QH170213_2,Quepos Hotsprings 2,S,9.561575,-84.123468,106.0944107,8.683509296,outer_forearc,forearc,Central,forearc,1,CSS,f,dcl,g3,300,36.7,47.3,2692,8.69,0.11,-17.98,0.22,-22.37,0.9625883,-29.8194801,4.1944778,-27.9711664,NA,NA,NA,NA,NA,2.784002057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.369162092,0.507960229,0.498831271,1.829645625,2.505139462,0.109148636,0.065814239,0.000947919,0.004753002,0.019844686,0.239206316,14.64322479,0.948314256,20.7,0.0071385,0.050629355,0.000430316,0.006888571,10.70151348,0.049857778,0.135086445,0.022030453,2.200692269,9.34,72.4,199.2,787.2,68,72.9,102.5,106.1,0.316,1.15
