Reference Contig,TCS,TC,SLS,SL,SIS,SI,RVF,RSS,RS,QNS,QN,QHS2,QHS1,QH2,PLS,PGS,PG,PFS,PF,PBS,MTF,FAS,ETS,ESF9,EPS,EP,CYS,CY,BRS2,BRS1,BRF2,BRF1,BR1,BQS,BQ,BQF,ARS
PPIGCAKM_00603,0,0.759035555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658884119,0.496862829,0,0,0,0,0,0,0,0,0,1.087629282,0,0.89554205,0,0.286406151,0,0,0,0
PPIGCAKM_00604,0.118009776,0.667723007,0,0,0,0,0,0,0,0.084524091,0,0,0,0,0,0,0,1.449049659,0.874179714,0,0,0.048760647,0,0,0,0,0,0.175600302,0.903631847,0,1.400546965,0.108070626,0.251951276,0,0,0,0
PPIGCAKM_00606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.159910584,0.044855672,0,0,0,0,0,0,0,0.077447273,0,1.472831319,0,1.616950923,0.399260923,0.155136665,0,0,0,0
OLANHFOJ_03361,0,0,0.904715248,0.029885029,5.164817441,0.285721838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494270213,0,0.060303252,0,0,0,0,0.130058166,0.145824154,0,0.113325045,0.058711379,0.425615514,0,0,0
HGBEDAGM_00058,0.082390027,0.129494255,5.7438563,6.387003308,0.015919875,0,0,0,0.04908609,0,0,0,0,0,0.126865438,0.025116709,0,0,0,0,1.208047494,0.391492965,0.031094601,0.030112057,0,0,0.014635705,0.735585515,0.092776776,0.145632784,0.030556553,0.037725442,0.029317165,0,0,0,0
HGBEDAGM_01678,0,0,0.806192393,0.745655971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212628396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGBEDAGM_01679,0.260863716,0.164002142,3.950566047,3.968913982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.304625922,0.251502285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGBEDAGM_01940,0,0.574803625,3.580903104,5.299224957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.766656946,0.251851109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGBEDAGM_01990,2.980120297,2.914440318,4.461271406,5.757596736,0,0,0.110594571,0,0,0,0,0,0,0,0.305922354,0,0,0,0,0,2.213034899,2.927901979,0,0,0,0,0,3.399755205,6.144875985,11.00357072,0.933328634,4.791131072,8.012121444,0,0,0,0
HGBEDAGM_02004,0,0.144050543,2.512731034,2.490055523,0,0,0,0,0,0,0,0,0,0,0.352815561,0,0,0,0,0,7.969299218,1.230761443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
