bins,BQ_S1_,MTF_,BRF1_,RS_S9_,BR1_S2_,SIS_,QH2_S7_,QHS1_S13_,PG_S6_,CY_S3_,SL_S11_,BRS2_,CYS_S13_,RVF_,PLS_,RSS_,TC_S12_,QN_S8_,EPS_S14_,EP_S4_,SLS_,PFS_,QNS_,BRF2_,TCS_,PF_S5_,PBS_,FAS_S15_,BQS_,ETS_,ALL_READS,QHS2_,SI_S10_,BQF_,BRS1_,ESF9_,PGS_,ARS_
bin_126,0,0.028238299,0.009460943,5.85267196,0.023074899,10.47214404,0.007749618,0.00236198,0.01065664,0.009766902,0.065457303,0.016950907,0.115880698,0.021177774,0.024610557,9.001617091,0.05352283,0.106231259,2.116510834,0.566005897,0.01033042,0.126101387,0.025936186,0.033918145,0.024141961,0.104392431,0.008135113,0.016370777,0.021067427,0.058451178,0.869407568,0.132413594,4.014229245,0,0.005792726,4.14173583,0.07933376,0.214309627
bin_89,0.005233594,4.212133869,0.039602722,0.050930019,0.06533026,0.02478526,0.002623574,0.004214055,0.010814002,131.0423569,19.36885067,0.126255902,1.189537647,0.026948327,1.505302811,0.036559033,0.734653009,0.04946545,0.019242234,0.025665057,4.413578612,0.074619779,0.012919791,0.091841751,2.467687865,0.098940443,0.011839433,2.034954876,0.002778732,0.066440226,4.061825845,0.009176157,0.026675697,0.000539025,0.038683201,0.075896303,0.02759077,0.046370837
bin_20,9.40E-05,0.055219549,0.012513472,0.031126801,0.023705143,18.36336135,0.002097058,0.002291157,0.006425163,0.971333062,0.06827034,0.092513176,0.198832005,0.014943512,0.003307209,0.013039687,0.042959476,0.043212281,0.006630191,0.013207447,0.00398661,0.038795616,0.008171917,0.231133323,0.003703056,0.023398631,0.002216722,0.056158889,0.109022879,0.023181257,0.789188203,0.004145316,2.177035183,0,0.003882316,4.247413646,0.009951736,0.139877813
bin_22,0.000634315,3.253599567,0.252804009,0.13490449,0.45783476,0.040769614,0.00123936,0.001190342,0.004449305,0.043948013,3.886094098,11.51870269,0.316356816,0.410216342,0.502798487,0.061966474,0.964133601,0.039065165,0.030891834,0.046948663,8.864902059,0.085133601,0.023150154,5.818198134,0.177090832,0.161202676,0.006555957,6.214323543,0.00878457,0.08647495,0.948589196,0.005488209,0.009622627,0,1.316998255,0.023922198,0.066708402,0.181680121
bin_6,0,0.071071127,0.059305744,0.141712933,0.1023224,0.043422952,0.002226385,0.005993015,0.116296134,0.032017546,0.453550459,0.031336723,0.503255962,0.079062898,0.017276306,0.069005265,0.440029881,0.524021321,0.055103829,0.079356571,0.008330599,0.260261184,0.115248152,0.057908238,0.083989113,0.291669362,0.022594353,0.015380085,1.479231992,0.168912927,0.775582122,0.010864677,0.062128129,0.000640437,0.008951236,0.097840696,15.89116641,1.636874354
bin_213,0.000560006,0.730556982,0.076762494,0.245254266,0.221780998,0.063494563,0.003106564,0.004832546,0.012875982,0.036623798,0.37572011,35.10751316,0.395752451,0.594185237,0.016343809,0.161959568,0.514558931,0.198585291,0.112998346,0.109150454,0.037371126,0.621236168,0.107610997,2.227537511,2.452685172,0.349013697,0.008997547,1.059929252,0.037088579,0.63887958,1.296950355,0.017323186,0.035416214,0.0007446,0.04357292,0.066674521,0.321895914,0.868073559
bin_208,0.010211279,0.016289708,0.001237732,0.006817746,0.017801456,0.003084414,0.000263959,0.000165318,0.030156488,3.474576787,36.80766848,0.004977024,0.133479282,0.014643688,1.841674343,0.001696126,0.213146856,0.008994101,0.00187964,0.000653171,35.61130312,0.005505794,0.003549708,0.009170225,0.335720976,0.001768128,0.004594275,5.10384655,0.01099811,0.00074515,1.122470109,0,0.005528466,0.000387947,0.002883844,0.004697709,0.001441878,0.146999373
bin_101,0.000469972,0.11335913,0.593981319,0.250749294,0.890481842,46.7363211,0.004284642,0.005592997,0.108725397,0.096029412,0.905390057,2.441348716,0.204495692,0.164983307,0.166152581,0.114276418,0.176140613,0.121364426,0.074090937,0.105830684,4.747092547,0.156310843,0.039976,0.536682515,0.081868651,0.208625576,0.006933002,5.09848927,0.116473412,0.172627327,2.135648255,0.009625703,1.731042712,0,0.247713766,2.810208689,0.108029721,0.656069284
bin_388,0,6.668719382,0.992872624,0.033986902,0.874266995,0.011135049,0.003075554,0.001244644,0.005616826,0.043816351,1.493731228,0.647867741,0.008413479,0.090248332,2.076837246,0.004892981,0.04797739,0.001774896,0.002713481,0.010801348,40.15141151,0.012937616,0.012013994,2.102430046,0.018706046,0.006899564,0.000876156,0.169121367,0,0.001976361,0.735093603,0.001034375,0.014079946,0,0.28733847,0.011645709,0.007282254,0
bin_150,0,0.013033939,0.004657108,2.81511864,0.006028709,3.332245389,0.002174754,0.000836468,0.001484139,0.002156757,0.06166573,0.0078421,0.095713483,0.023282495,0.052696488,0.876308747,0.059911961,0.047533244,34.25037319,7.988317947,0.011586082,0.150299911,0.040813893,0.008519262,0.014551441,0.278859795,0.000397867,0.015977595,0.08487749,0.088799205,1.833371768,0.03220573,0.10453271,0,0.002893641,0.829455607,0.059190076,0.118291549
bin_95,0.000892805,5.39985631,1.273666085,0.031593138,2.22781808,0.018629111,0.013710852,59.18741955,0.005491042,4.709392672,15.04816506,0.246135831,7.35534955,0.019087688,0.375107028,0.020465065,0.43517017,0.054422265,0.010286942,0.030010476,1.695360351,0.025339596,0.011476553,0.217515275,0.252955683,0.028759209,0.027669528,1.268520433,0.000445054,0.071194194,6.468352028,0.01489106,0.030893662,0.000213208,1.058800674,0.052332377,0.006898928,0.022247698
bin_393,0,0.021215091,0.003363333,12.92471394,0.00284323,12.56066076,0.000146505,0.000122165,0.001969041,0.003975357,0.011606005,0.004549738,0.005058572,0.004368491,0.00483235,6.353086287,0.006469888,0.005238166,3.517356456,2.024424669,0.011087176,0.013094938,0.001790217,0.006500542,0.005247615,0.031491155,0.001909541,0.005031475,0.053158858,0.00623941,0.984822086,0.000406715,0.882463979,0,0.00324449,0.879676595,0.015953342,0.00243629
bin_121,0,0.067021454,0.987090969,0.036195839,1.021604315,0.017266935,0.003938052,0.000508769,0.075094119,0.023658685,0.225791836,9.933524421,0.069574064,0.820717639,0.039915333,0.008251417,0.154417404,0.134908436,0.003387049,0.062423289,0.272276117,0.068789184,0.022416128,7.368590381,0.025724704,0.025365449,0.013525542,0.114626672,0.005594972,0.011223334,0.499148173,0.012832191,0.017122266,0,0.870817823,0.014259808,0.012842443,0.125495242
bin_318,0,0.043600185,0.337722685,0.050630279,0.100477937,0.0046548,0.000588445,0.000331915,0.010790558,0.002855792,0.035089587,0.001628739,0.018778567,0.014234173,0.003424513,0.003469968,0.083953197,0.105935069,0.004517985,0.004819012,0.001523063,0.024465022,0.011114472,100.2133333,0.003654283,0.034244113,0.001817846,0.002357423,0.000589525,0.007520746,1.542699885,0.000851124,0.167378945,0,0.000595682,0.202864867,0.009401895,0.041744704
