Metabolism,gene,ko
nitrous_oxide_reduction,nosZ,K00376
NiFe_hydrogenase,hydB2,K00437
NiFe_hydrogenase,hydA2,K18008
hydrogen:quinone_oxidoreductase,hydA3,K05922
hydrogen:quinone_oxidoreductase,hydB3,K05927
NAD_reducing_hydrogenase,hoxH,K00436
NAD_reducing_hydrogenase,hoxY,K18007
NADP_reducing_hydrogenase,hndD,K18332
NiFe_hydrogenase_Hyd_1,hyaA,K06282
NiFe_hydrogenase_Hyd_2,hyaB,K06281
nitric_oxide_reduction,norB,K04561
nitric_oxide_reduction,norC,K02305
dissimilatory_nitrate_reduction,narG,K00370
dissimilatory_nitrate_reduction,narH,K00371
dissimilatory_nitrate_reduction,napA,K02567
dissimilatory_nitrate_reduction,napB,K02568
"Cytochrome_c_oxidase,_cbb3_type",ccoP,K00406
"Cytochrome_c_oxidase,_cbb3_type",ccoQ,K00407
"Cytochrome_c_oxidase,_cbb3_type",ccoN,K00404
"Cytochrome_c_oxidase,_cbb3_type",ccoO,K00405
Cytochrome_aa3_600_menaquinol_oxidase,qoxA,K02826
Cytochrome_aa3_600_menaquinol_oxidase,qoxB,K02827
Cytochrome_aa3_600_menaquinol_oxidase,qoxC,K02828
Cytochrome_aa3_600_menaquinol_oxidase,qoxD,K02829
Cytochrome_bd_complex,cydA,K00425
Cytochrome_bd_complex,cydB,K00426
dissimilatory_sulfite_sulfide,dsrA,K11180
dissimilatory_sulfite_sulfide,dsrB,K11181
sulfide:quinone_oxidoreductase,sqr,K17218
sulfide_dehydrogenase,fccB,K17229
ammonia_oxidation,amoA,K10944
ammonia_oxidation,amoB,K10945
ammonia_oxidation,amoC,K10946
thiosulfate_oxidation,soxA,K17222
thiosulfate_oxidation,soxB,K17224
thiosulfate_oxidation,soxC,K17225
thiosulfate_oxidation,soxX,K17223
thiosulfate_oxidation,soxY,K17226
thiosulfate_oxidation,soxZ,K17227
thiosulfate_dehydrogenase,tsdA,K19713
thiosulfate_dehydrogenase_quinone,doxA,K16936
thiosulfate_dehydrogenase_quinone,doxD,K16937
CBB,PRK,K00855
WL_Cat_Option_1,cdhA,K00192
WL_Cat_Option_2,acsB,K14138
rTCA_Option_1,aclA,K15230
rTCA_Option_1,aclB,K15231
rTCA_Option_2,ccsA,K15232
rTCA_Option_3,ccsB,K15233
rTCA_Option_4,ccl,K15234
