"bin.taxa.name","bins","kingdom","phylum","class","order","family","genus","species","DCO_LLO_Bv4v5..QHF2_QH170212_2","DCO_LLO_Bv4v5..QHS2_QH170213_2","DCO_LLO_Bv4v5..BQS_BQ170220","DCO_LLO_Bv4v5..SIF_SI170217","DCO_LLO_Bv4v5..ESF9_ES_F9","DCO_LLO_Bv4v5..SIS_SI170217","DCO_LLO_Bv4v5..EPF_EP170215","DCO_LLO_Bv4v5..RSS_RS170216","DCO_LLO_Bv4v5..RSF_RS170216","DCO_LLO_Bv4v5..EPS_EP170215","DCO_LLO_Bv4v5..SLS_SL170214_S","DCO_LLO_Bv4v5..BRS1_BR170218_1","DCO_LLO_Bv4v5..BRS2_BR170218_2","DCO_LLO_Bv4v5..FAS_FA170219","DCO_LLO_Bv4v5..BRF1_BR170218_1","DCO_LLO_Bv4v5..BRF2_BR170218_2","DCO_LLO_Bv4v5..MTF_MT170219","DCO_LLO_Bv4v5..CYF_CY170214","DCO_LLO_Bv4v5..SLF_SL170214","DCO_LLO_Bv4v5..BQF_BQ170220","DCO_LLO_Bv4v5..QNF_QN170220","DCO_LLO_Bv4v5..QNS_QN170220","DCO_LLO_Bv4v5..CYS_CY170214","DCO_LLO_Bv4v5..ETS_ET170220","DCO_LLO_Bv4v5..RVF_RV170221","DCO_LLO_Bv4v5..TCF_TC170221","DCO_LLO_Bv4v5..TCS_TC170221_2","cluster"
"bin_348, Bacteria, Zixibacteria, MSB~A5, UBA10806, 4484~95","bin_348","Bacteria","Zixibacteria","MSB~A5","UBA10806","4484~95","","",0,0,0,0,0,0,0,0,0.041019953,0,0,0,35.52661971,3.292054652,0.076610954,4.206165386,0.030893598,0,0.04523776,0,0.049187451,0,0.050794461,1.678477523,0,0.032115191,0,2
"bin_332, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Caldimonas","bin_332","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Caldimonas","",0,0.038330767,0,1.035290576,1.419002275,0.165808403,0.219103694,0.152177814,0.30689118,0.123410565,0.060817457,0.276591591,0.508513559,0.332518732,64.80873647,4.016680953,54.35980117,5.341075101,2.407021268,0,2.135715728,0.413449115,3.515593194,0.180166721,3.529054484,2.742087922,0.195051235,2
"bin_253, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera","bin_253","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","",0,0,0,0,0,0,0,0,0.032985833,0,0,0,0.033805505,0,0,0,0.055598191,0,0,0,0,0,0.195410784,50.84189826,0.485680974,0.166852956,0,2
"bin_183, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Alteromonadaceae, Alishewanella, agri","bin_183","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alishewanella","agri",0,0,0,0.473271405,0.541045637,0,0,0,0.08273491,0,0,0,0,0,300.4666245,3.03597275,0.050793872,0,0.058698247,0,0.14287694,0,0.055408529,0,0.033546646,0.07924855,0,2
"bin_57, Bacteria, Bacteroidota, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Ignavibacterium","bin_57","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","",0.961946125,11.98088581,0,0,0,0,0,0,0,0,0,0,0.079192161,0.249824724,0,0,1.575171774,0,0.034130645,0,0,0,0.10475249,0,0,0.379319249,0.359858782,2
"bin_179, Bacteria, Bacteroidota, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Ignavibacterium","bin_179","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","",3.077540223,42.78150223,0,0,0,0,0,0,0.047477374,0,0.037854391,0,0.030098315,0.285459791,0,0.062646928,2.080735362,0.033390057,0.087371111,0,0,0.074592051,0.173062788,0,0.042403905,0.509832039,0.403747583,2
"bin_325, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Alteromonadaceae, RheinheimeraA","bin_325","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","RheinheimeraA","",0,0,0,0.073711254,0.124297521,0,0,0,0.04590582,0,0,0,0,0,65.46618974,7.463486087,0.040371582,0,0.081769738,0,0.111415627,0,0.035110016,0,0,0.087290739,0,2
"bin_361, Bacteria, Gemmatimonadota, Gemmatimonadetes, Gemmatimonadales, GWC2~71~9","bin_361","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","GWC2~71~9","","",0,0,0,0,0.048333387,0.05411678,0.044882697,0.087980713,0.16036393,0.057548261,1.259682471,0.041417915,0.216676667,59.91542493,0,0.033314124,0.041580479,0.246157656,1.120377146,0,0.149343886,0.060855099,2.763785964,0.210263551,0.536866308,0.329950886,0.036601084,2
"bin_318, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Alteromonadaceae, RheinheimeraA","bin_318","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","RheinheimeraA","",0,0,0,0.167378945,0.202864867,0,0,0,0.050630279,0,0,0,0,0,0.337722685,100.2133333,0.043600185,0,0.035089587,0,0.105935069,0,0,0,0,0.083953197,0,2
"bin_336, Bacteria, Firmicutes, Bacilli, Exiguobacterales, Exiguobacteraceae, Exiguobacterium, GCF001908175.1","bin_336","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium","GCF001908175.1",0,0,0,0.27219891,0.596007509,0,0,0,0.090842338,0,0,0,0,0,1.439335402,104.9051269,1.033527965,0.06580089,0.104928148,0,0.035650809,0,0.047373321,0,0.742890153,0.60938269,0.034354329,2
