bin.taxa.name,bins,completeness,contamination,GC,N50,size,kingdom,phylum,class,order,family,genus,species,DCO_LLO_Bv4v5..MTF_MT170219,DCO_LLO_Bv4v5..BRF1_BR170218_1,DCO_LLO_Bv4v5..RSF_RS170216,DCO_LLO_Bv4v5..SIS_SI170217,DCO_LLO_Bv4v5..QHF2_QH170212_2,DCO_LLO_Bv4v5..CYF_CY170214,DCO_LLO_Bv4v5..SLF_SL170214,DCO_LLO_Bv4v5..BRS2_BR170218_2,DCO_LLO_Bv4v5..CYS_CY170214,DCO_LLO_Bv4v5..RVF_RV170221,DCO_LLO_Bv4v5..RSS_RS170216,DCO_LLO_Bv4v5..TCF_TC170221,DCO_LLO_Bv4v5..QNF_QN170220,DCO_LLO_Bv4v5..EPS_EP170215,DCO_LLO_Bv4v5..EPF_EP170215,DCO_LLO_Bv4v5..SLS_SL170214_S,DCO_LLO_Bv4v5..QNS_QN170220,DCO_LLO_Bv4v5..BRF2_BR170218_2,DCO_LLO_Bv4v5..TCS_TC170221_2,DCO_LLO_Bv4v5..FAS_FA170219,DCO_LLO_Bv4v5..BQS_BQ170220,DCO_LLO_Bv4v5..ETS_ET170220,DCO_LLO_Bv4v5..QHS2_QH170213_2,DCO_LLO_Bv4v5..SIF_SI170217,DCO_LLO_Bv4v5..BQF_BQ170220,DCO_LLO_Bv4v5..BRS1_BR170218_1,DCO_LLO_Bv4v5..ESF9_ES_F9
"bin_399, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrosopumilaceae, Nitrosotenuis, GCF000723185.1",bin_399,100,0.97,0.423,75450,1652356,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotenuis,GCF000723185.1,2.448922797,0.183262993,0,0,0.060862475,3.583583118,0.606808193,0.361712718,237.6542145,0.122344354,0,0.505121634,0.105006077,0,0,0.119694598,0,0.367079975,0,0.079401542,0,0.241621269,0,0.053835288,0,0.049553174,0.091283899
"bin_348, Bacteria, Zixibacteria, MSB~A5, UBA10806, 4484~95",bin_348,100,3.296,0.513,305183,2617841,Bacteria,Zixibacteria,MSB~A5,UBA10806,4484~95,,,0.030893598,0.076610954,0.041019953,0,0,0,0.04523776,35.52661971,0.050794461,0,0,0.032115191,0.049187451,0,0,0,0,4.206165386,0,3.292054652,0,1.678477523,0,0,0,0,0
"bin_332, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Caldimonas",bin_332,100,0.467,0.659,54860,3165495,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Caldimonas,,54.35980117,64.80873647,0.30689118,0.165808403,0,5.341075101,2.407021268,0.508513559,3.515593194,3.529054484,0.152177814,2.742087922,2.135715728,0.123410565,0.219103694,0.060817457,0.413449115,4.016680953,0.195051235,0.332518732,0,0.180166721,0.038330767,1.035290576,0,0.276591591,1.419002275
"bin_287, Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales",bin_287,100,1.182,0.354,87194,2962936,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,,1.018845053,0,0.037285577,0.077411331,0,0.521831541,0.052882013,0,3.127376484,0,0.059134172,0.109265177,0.113968131,0,0.100775153,0,0,0,0,0,0,0,0,0.184504847,0,0,0.263820047
"bin_253, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera",bin_253,100,0.97,0.474,112096,1987437,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,,0.055598191,0,0.032985833,0,0,0,0,0.033805505,0.195410784,0.485680974,0,0.166852956,0,0,0,0,0,0,0,0,0,50.84189826,0,0,0,0,0
"bin_183, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Alteromonadaceae, Alishewanella, agri",bin_183,100,0.168,0.506,389530,3322483,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alishewanella,agri,0.050793872,300.4666245,0.08273491,0,0,0,0.058698247,0,0.055408529,0.033546646,0,0.07924855,0.14287694,0,0,0,0,3.03597275,0,0,0,0,0,0.473271405,0,0,0.541045637
"bin_16, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, GJ~E10",bin_16,100,0,0.69,14717,3926961,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,GJ~E10,,0.189774473,0.144352485,0.435488154,0.691865322,0.101595461,0.154573776,2.894484155,0.978107896,1.577119435,0.207425047,0.343905195,2.045884659,1.369493898,0.264328392,0.697286773,0.056786275,0.362432235,0.192239655,0.365797273,1.132162023,0.033020693,0.441011378,0.816219915,0.38241966,0,0.035072638,0.609538114
"bin_357, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, GWA2~32~17",bin_357,99.84,1.428,0.359,103480,4863568,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,GWA2~32~17,,,0,0,0.04368565,0,0,0,0,0,0,0,0,0,0.679066534,0,0,0,31.33286947,0,0,0,0.041159036,0,0,0,0,0,0.033700875
"bin_125, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, UBA12077",bin_125,99.52,2.063,0.42,102244,2660511,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA12077,,,0,0,0.116344332,28.16232774,0.036146832,0,0,0,0.032251914,0,0.138542575,0.032835884,0.048756619,1.654570779,11.45807239,0,0,0,0.036212795,0,0.048515928,0,1.090521836,0.250515891,0,0,0.342716031
"bin_379, Bacteria, Cyanobacteriota, Cyanobacteriia, Cyanobacteriales, Nostocaceae, Fischerella, thermalis",bin_379,99.51,0.722,0.409,61584,6030557,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Fischerella,thermalis,0.133002536,1.084446357,0.035364549,0.03479694,0,0.066274146,0.137377835,1.036270863,0.632876676,0,0,0.046507465,0.058089649,0,0,0.189567263,0,0.109106395,0,0.156821522,0,0,0,0.073335334,0,0.044447457,0.12322431
