bins,kingdom,phylum,class,order,family,genus,species,glycolysis,gluconeogenesis,TCA Cycle,NAD(P)H-quinone oxidoreductase,NADH-quinone oxidoreductase,F-type ATPase,V-type ATPase,Cytochrome c oxidase,Ubiquinol-cytochrome c reductase,Cytochrome o ubiquinol oxidase,Cytochrome aa3-600 menaquinol oxidase,"Cytochrome c oxidase, cbb3-type",Cytochrome bd complex,RuBisCo,CBB Cycle,rTCA Cycle,Wood-Ljungdahl,3-Hydroxypropionate Bicycle,4-Hydroxybutyrate/3-hydroxypropionate,pectinesterase,diacetylchitobiose deacetylase,glucoamylase,D-galacturonate epimerase,exo-poly-alpha-galacturonosidase,oligogalacturonide lyase,cellulase,exopolygalacturonase,chitinase,basic endochitinase B,bifunctional chitinase/lysozyme,beta-N-acetylhexosaminidase,D-galacturonate isomerase,alpha-amylase,beta-glucosidase,pullulanase,ammonia oxidation (amo/pmmo),hydroxylamine oxidation,nitrite oxidation,dissim nitrate reduction,DNRA,nitrite reduction,nitric oxide reduction,nitrous-oxide reduction,nitrogen fixation,hydrazine dehydrogenase,hydrazine synthase,dissimilatory sulfate < > APS,dissimilatory sulfite < > APS,dissimilatory sulfite < > sulfide,thiosulfate oxidation,alt thiosulfate oxidation tsdA,alt thiosulfate oxidation doxAD,sulfur reductase sreABC,thiosulfate/polysulfide reductase,sulfhydrogenase,sulfur disproportionation,sulfur dioxygenase,sulfite dehydrogenase,sulfite dehydrogenase (quinone),sulfide oxidation,sulfur assimilation,DMSP demethylation,DMS dehydrogenase,DMSO reductase,NiFe hydrogenase,ferredoxin hydrogenase,membrane-bound hydrogenase,hydrogen:quinone oxidoreductase,NAD-reducing hydrogenase,NADP-reducing hydrogenase,NiFe hydrogenase Hyd-1,thiamin biosynthesis,riboflavin biosynthesis,cobalamin biosynthesis,transporter: vitamin B12,transporter: thiamin,transporter: urea,transporter: phosphonate,transporter: phosphate,Flagellum,Chemotaxis,Methanogenesis via methanol,Methanogenesis via acetate,"Methanogenesis via dimethylsulfide, methanethiol, methylpropanoate",Methanogenesis via methylamine,Methanogenesis via trimethylamine,Methanogenesis via dimethylamine,Methanogenesis via CO2,Coenzyme B/Coenzyme M regeneration,Coenzyme M reduction to methane,Soluble methane monooxygenase,methanol dehydrogenase,alcohol oxidase,dimethylamine/trimethylamine dehydrogenase,Photosystem II,Photosystem I,Cytochrome b6/f complex,anoxygenic type-II reaction center,anoxygenic type-I reaction center,Retinal biosynthesis,Entner-Doudoroff Pathway,Mixed acid: Lactate,Mixed acid: Formate,Mixed acid: Formate to CO2 & H2,Mixed acid: Acetate,"Mixed acid: Ethanol, Acetate to Acetylaldehyde","Mixed acid: Ethanol, Acetyl-CoA to Acetylaldehyde (reversible)","Mixed acid: Ethanol, Acetylaldehyde to Ethanol","Mixed acid: PEP to Succinate via OAA, malate & fumarate",Naphthalene degradation to salicylate,Biofilm PGA Synthesis protein,Colanic acid and Biofilm transcriptional regulator,Biofilm regulator BssS,Colanic acid and Biofilm protein A,Curli fimbriae biosynthesis,Adhesion,Competence-related core components,Competence-related related components,Competence factors,Glyoxylate shunt,Anaplerotic genes,Sulfolipid biosynthesis,C-P lyase cleavage PhnJ,CP-lyase complex,CP-lyase operon,Type I Secretion,Type III Secretion,Type II Secretion,Type IV Secretion,Type VI Secretion,Sec-SRP,Twin Arginine Targeting,Type Vabc Secretion,Serine pathway/formaldehyde assimilation,Arsenic reduction
bin_328,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,indicus,0.56,0.67,0.5,0,0.7,0.375,0,0,0,0.75,0,0,0.5,0,0,0,0,0.18,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.64,1,0.12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.125,0,0.75,0,0,0,0,0,0.14,0,0,1,0.5,0,0,0,0,0.33,0,0.5383,0,0.444,0.747,0.75,0,0.4,0.5
bin_282,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,junii,0.56,0.67,0.88,0,0.84,1,0,0,0,0,0,0,1,0,0,0,0,0.18,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.64,1,0.62,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.458,0,0.5,0,0,0,0,0,0.14,0,0,1,0.5,0,0,0,0,0,0,0.5383,0,0.111,0.913,0.75,0,0.4,0.75
bin_183,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alishewanella,agri,0.89,0.89,0.88,0,0,1,0,0.75,0.5,0,0,1,1,0,0,0,0,0.24,0.2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.36,1,0.25,0.33,0,0,0,1,1,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.708,0,0,0,0,0,0,0,0.14,0,0,1,0.75,0,0,0,0,0.33,0,0.8459,0,0.111,0.913,0.75,0,0.6,1
bin_97,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Chromobacteriaceae,Chromobacterium,haemolyticum,0.67,0.78,0.88,0.07,0.98,1,0,0.75,0,1,0,1,1,0,0,0,0,0.24,0.2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1,0.75,0,0.99,1,0.99,1,1,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,1,0.668,0.5,1,1,0,0.458,0,0.75,0,0,0,0,0,0.14,0,0,1,0.5,0,1,1,0.9,0.33,0.1332,0.6152,0,0.666,0.747,0.75,0.4,0.6,0.25
bin_379,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Fischerella,thermalis,0.78,0.89,0.62,0.98,0,1,0,0.75,0,0,0,0,1,1,1,0,0,0.24,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0.66,0.55,1,0.62,0,0,1,0.99,1,0.04,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002,0.5625,0.75,0,0,0.5,0.75,0,0,0,0,1,0,0,0.083,0,0,0,0,0,0,0,0.07,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0.747,0.5,0,0.5,1
bin_399,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotenuis,GCF000723185.1,0.44,0,0.88,0,0.63,0,0.88,0.5,0,0,0,0,0,0,0,0,0,0.18,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.27,0.75,0.62,0,0,0,0.99,1,0.04,0.75,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333,0,0,0,0,0,0,0,0.07,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0.4,0.25
bin_336,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,GCF001908175.1,0.89,0,0.62,0,0,1,0,0.75,0,0,0,0,1,0,0,0,0,0.12,0.2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,1,0.12,0,0,0,0,1,0.74,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1,1,0,0.5,1,1,0,0.5625,0,0,0,0,0,0,0,0.42,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0.81,0.5,0,0.3,1
bin_134,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,inopinata,0.67,0.78,0.62,0,0.91,1,0,0,0,0,0,0,1,0,0,1,0,0.18,0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.66,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.64,1,0.62,0,0,1,0,1,0.83,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,1,0,0,0.1455,0,0,0,0,0,0,0,0.14,0,0,0,0.25,0,0,0,0,0.66,0,0.3845,0,0.111,0.83,0.5,0,0.4,0.25
bin_264,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8~39,2~02~FULL~66~14,,0.78,0,1,0,0.84,1,0,0.75,0.5,0,0,1,0,1,1,0,0.17,0.24,0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.8,0,0,0,0,0,0,0,0,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0.45,1,0.25,0,0,1,0.33,1,0.96,0.88,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.501,0.5,0,0,0,0.7705,0,0,0,0,0,0,0,0.07,0,0,1,0.75,0,0,0,0,0.66,0,0.1538,0,0.111,0.913,0.75,0,0.6,0.75
bin_319,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,2~02~FULL~66~22,2~02~FULL~66~22,,0.56,0,0.88,0,0.98,1,0,0.75,0,0,0,0.25,1,0,0,0,0,0.18,0.3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.45,1,0,0,0,0,0.99,1,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.75,0,0,0.167,0.5,0,0,0,0.3955,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0.1538,0,0,0.498,0.5,0,0.5,1
bin_148,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2~73~35,40CM~68~15,,0.44,0,0.75,0,0.98,0.875,0,1,0,0,0,0.25,0,0,0,0,0.17,0.18,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.16,0,0,0,0.33,0,0,0,0,0.33,0,1,0,0,0,0,0,0,0,0,0,0,0.64,1,0.12,0,0,0,0.99,1,0.04,0.12,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.334,0.5,1,0,0,0.583,0,0,0,0,0,0,0,0.07,0,0,1,0.5,0.5,0,0,0,0,0,0.3845,0,0,0.83,0.5,0,0.3,0.5
bin_104,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,6E,,0.89,0,0.75,0,0.07,1,0.66,0,0,0,0,0.25,0,0,0,0,0,0.18,0.1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.27,1,0.12,0,0,0,0,1,0.04,0.25,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0,0,0.5,1,0,0,0.3955,0,0,0,0,0,0,0,0.14,0,0,0,0.75,0,0,0,0.09,0.33,0,0,0,0,0.81,0.5,0,0.5,0.25
bin_205,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,70~18,,0.89,0,0.88,0.07,0.98,1,0,0.75,0.5,0,0,0.75,1,0,0,0,0.17,0.29,0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.55,1,1,0,0,1,0.99,1,0.83,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,0,0,0.501,0.5,1,0,0,0.2705,0,0,0,0,0,0,0,0.07,0,0,1,0.5,0,1,1,0.9,0.33,0,0,0,0.555,0.83,0.75,0,0.6,0.5
bin_315,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,70~18,,0.56,0,1,0.07,0.91,1,0,0.75,0.5,0,0,0.75,0,1,0.89,0,0.17,0.29,0.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.96,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.36,1,1,0,0,1,0.99,1,0.87,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,0,0,0.501,0,0,0,0,0.5205,0.04,0,0,0,0,0,0,0.07,0,0,1,0.75,0,1,0.5,0.63,0.33,0,0.5383,0,0,0.83,0.75,0,0.6,0.75
